"anxhkCNY"
"anxhkHKD"
"anxhkUSD"
"bit2cILS"
"bitcurexEUR"
"bitcurexPLN"
"bitkonanUSD"
"bitnzNZD"
"bitstampUSD"
"bitxZAR"
"btcdeEUR"
"btceEUR"
"btceRUR"
"btceUSD"
"btcmarketsAUD"
"btcnCNY"
"cbxUSD"
"crytrEUR"
"crytrUSD"
"fybseSEK"
"fybsgSGD"
"icbitUSD"
"intrsngEUR"
"intrsngGBP"
"justEUR"
"justLTC"
"justNOK"
"justUSD"
"justXRP"
"kptnSEK"
"localbtcARS"
"localbtcAUD"
"localbtcBRL"
"localbtcCAD"
"localbtcCHF"
"localbtcCZK"
"localbtcDKK"
"localbtcEUR"
"localbtcGBP"
"localbtcHKD"
"localbtcILS"
"localbtcINR"
"localbtcMXN"
"localbtcNOK"
"localbtcNZD"
"localbtcPLN"
"localbtcRUB"
"localbtcSEK"
"localbtcSGD"
"localbtcTHB"
"localbtcUSD"
"localbtcZAR"
"mrcdBRL"
"mtgoxAUD"
"mtgoxCAD"
"mtgoxCHF"
"mtgoxCNY"
"mtgoxDKK"
"mtgoxEUR"
"mtgoxGBP"
"mtgoxHKD"
"mtgoxJPY"
"mtgoxNZD"
"mtgoxPLN"
"mtgoxRUB"
"mtgoxSEK"
"mtgoxSGD"
"mtgoxTHB"
"mtgoxUSD"
"rippleEUR"
"rippleUSD"
"rippleXRP"
"rockEUR"
"rockUSD"
"vcxEUR"
"vcxUSD"
"virtexCAD"
"virwoxSLL"
